time,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),precipitation_sum (mm),snowfall_sum (cm),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2000-01-01,9.6,-2.9,6.9,-6.5,0.00,0.00,12.2,222,8.66,0.87
2000-01-02,14.5,0.7,13.2,-2.8,0.00,0.00,18.1,211,5.39,0.84
2000-01-03,15.7,10.3,16.0,8.3,1.10,0.00,17.1,210,3.98,0.64
2000-01-04,15.8,9.1,13.5,6.9,16.20,0.00,24.3,201,2.38,0.57
2000-01-05,8.2,-2.8,5.5,-7.1,3.20,0.00,25.0,310,8.99,1.56
2000-01-06,5.0,-4.6,0.7,-8.8,0.00,0.00,13.8,148,8.80,1.03
2000-01-07,7.9,-1.9,3.3,-5.4,0.00,0.00,21.8,256,7.17,1.07
2000-01-08,3.5,-4.0,-1.0,-8.1,0.00,0.00,13.1,251,9.50,1.17
2000-01-09,9.6,0.1,6.9,-4.3,0.00,0.00,14.1,215,8.55,1.20
2000-01-10,11.9,3.2,10.5,0.7,16.50,0.00,26.8,155,0.90,0.33
2000-01-11,10.6,3.7,4.3,-2.8,0.30,0.00,30.7,245,6.65,1.99
2000-01-12,6.9,-0.4,2.0,-4.0,0.00,0.00,24.5,282,9.89,1.83
2000-01-13,1.8,-7.3,-1.8,-14.7,6.10,3.78,26.0,3,1.44,0.62
2000-01-14,-5.1,-10.3,-13.1,-17.9,0.00,0.00,30.3,314,10.51,1.25
2000-01-15,-3.4,-9.3,-7.7,-14.3,0.00,0.00,16.4,289,10.58,0.97
2000-01-16,6.8,-4.7,1.5,-12.5,0.00,0.00,29.3,253,5.95,1.44
2000-01-17,-6.0,-14.8,-13.9,-23.2,0.00,0.00,31.2,323,11.13,1.13
2000-01-18,-6.6,-15.6,-11.4,-21.6,0.00,0.00,18.2,329,9.37,0.86
2000-01-19,-2.0,-11.3,-7.2,-16.2,0.00,0.00,12.7,314,10.91,1.05
2000-01-20,-0.6,-6.6,-6.0,-11.2,3.60,2.52,19.1,43,4.24,0.64
2000-01-21,-5.9,-13.0,-11.5,-20.2,0.00,0.00,35.1,307,11.43,1.01
2000-01-22,-6.6,-14.6,-12.9,-21.2,0.00,0.00,24.5,287,11.69,0.95
2000-01-23,-1.0,-8.8,-5.3,-13.1,0.00,0.00,11.2,68,7.87,0.75
2000-01-24,3.5,-4.2,0.2,-8.5,0.00,0.00,11.4,22,10.01,1.02
2000-01-25,-2.4,-3.7,-7.9,-10.9,21.40,11.90,33.6,14,1.96,0.56
2000-01-26,-1.9,-8.5,-7.2,-14.2,2.10,1.68,25.1,307,10.91,0.93
2000-01-27,-8.7,-13.8,-14.7,-19.8,0.00,0.00,22.0,305,12.46,0.74
2000-01-28,-7.1,-15.2,-13.3,-21.5,0.00,0.00,21.9,292,12.60,0.77
2000-01-29,-1.4,-16.2,-5.7,-21.7,0.00,0.00,11.8,323,13.11,0.93
2000-01-30,0.4,-11.1,-3.1,-15.7,9.30,6.51,17.3,12,7.37,0.74
2000-01-31,5.0,-5.5,2.1,-10.7,12.00,3.85,24.1,264,11.57,0.96
2000-02-01,0.1,-7.0,-5.3,-12.4,0.00,0.00,20.5,253,10.59,0.97
2000-02-02,-3.1,-8.3,-10.1,-14.0,0.00,0.00,28.0,291,12.80,1.13
2000-02-03,-1.3,-10.8,-5.3,-16.2,0.90,0.63,13.1,275,7.40,0.75
2000-02-04,0.5,-6.2,-2.7,-10.3,0.60,0.56,9.2,19,9.05,0.78
2000-02-05,-0.2,-5.6,-4.8,-10.7,0.00,0.14,18.2,268,13.55,1.13
2000-02-06,0.2,-7.2,-5.3,-12.4,0.00,0.00,18.7,266,14.03,1.19
2000-02-07,3.8,-7.4,-1.7,-12.2,0.00,0.00,22.2,262,12.91,1.31
2000-02-08,-2.4,-12.7,-6.2,-17.6,0.00,0.00,14.4,327,14.44,1.13
2000-02-09,6.0,-9.8,1.6,-14.5,0.00,0.00,19.6,224,12.97,1.21
2000-02-10,5.8,-2.8,2.6,-6.5,0.00,0.00,10.5,70,13.09,1.23
2000-02-11,7.2,-2.2,4.2,-8.2,0.70,0.00,20.9,286,7.93,1.00
2000-02-12,-0.8,-7.4,-4.8,-12.6,0.00,0.00,20.4,345,13.35,1.29
2000-02-13,3.2,-4.6,-1.0,-9.3,0.00,0.00,14.7,113,11.35,1.22
2000-02-14,10.8,2.8,7.4,-0.6,15.50,0.00,29.2,211,3.98,0.50
2000-02-15,4.8,-2.5,1.6,-8.4,0.00,0.00,22.9,304,14.91,1.63
2000-02-16,10.7,-3.4,8.1,-7.5,0.90,0.56,16.7,226,11.16,1.55
2000-02-17,1.5,-4.7,-3.3,-10.6,0.00,0.00,20.6,330,15.69,1.69
2000-02-18,1.5,-4.7,-2.9,-8.9,16.90,7.77,18.5,60,2.28,0.48
2000-02-19,0.7,-1.7,-2.9,-5.9,10.40,0.28,12.7,16,3.06,0.40
2000-02-20,2.6,-6.4,-2.3,-11.1,0.00,0.00,19.1,289,14.37,1.27
2000-02-21,4.1,-7.7,0.2,-12.3,0.00,0.00,11.9,272,15.42,1.45
2000-02-22,7.1,-3.5,4.1,-7.9,0.00,0.00,11.8,210,15.82,1.73
2000-02-23,11.2,-2.5,8.6,-6.7,0.00,0.00,10.7,223,11.15,1.39
2000-02-24,17.1,1.0,15.5,-2.2,0.00,0.00,11.5,218,14.35,2.06
2000-02-25,12.1,3.8,10.0,0.3,5.90,0.00,16.0,63,8.59,1.03
2000-02-26,8.0,2.8,5.5,-1.2,0.40,0.00,15.0,46,6.75,0.85
2000-02-27,13.8,4.5,12.0,2.3,0.00,0.00,21.6,169,8.51,1.11
2000-02-28,11.2,3.4,8.5,-1.8,7.60,0.00,24.9,286,11.56,1.96
2000-02-29,11.7,0.3,6.1,-5.1,0.00,0.00,23.2,315,17.55,2.79
2000-03-01,9.2,-0.6,5.5,-4.4,0.50,0.00,13.3,106,13.05,1.68
