latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.738136,-74.04254,27.0,-14400,America/New_York,GMT-4

time,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),precipitation_sum (mm),snowfall_sum (cm),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2000-01-01,9.6,-2.9,6.9,-6.5,0.00,0.00,12.2,222,8.66,0.87
2000-01-02,14.5,0.7,13.2,-2.8,0.00,0.00,18.1,211,5.39,0.84
2000-01-03,15.7,10.3,16.0,8.3,1.10,0.00,17.1,210,3.98,0.64
2000-01-04,15.8,9.1,13.5,6.9,16.20,0.00,24.3,201,2.38,0.57
2000-01-05,8.2,-2.8,5.5,-7.1,3.20,0.00,25.0,310,8.99,1.56
2000-01-06,5.0,-4.6,0.7,-8.8,0.00,0.00,13.8,148,8.80,1.03
2000-01-07,7.9,-1.9,3.3,-5.4,0.00,0.00,21.8,256,7.17,1.07
2000-01-08,3.5,-4.0,-1.0,-8.1,0.00,0.00,13.1,251,9.50,1.17
2000-01-09,9.6,0.1,6.9,-4.3,0.00,0.00,14.1,215,8.55,1.20
2000-01-10,11.9,3.2,10.5,0.7,16.50,0.00,26.8,155,0.90,0.33
2000-01-11,10.6,3.7,4.3,-2.8,0.30,0.00,30.7,245,6.65,1.99
